human_symbol	dog_symbol	orthology_type	human_logFC	human_adj.P	human_is_sig_strict	human_dir_strict	human_is_sig_broad	human_dir_broad	dog_logFC	dog_adj.P	dog_is_sig_strict	dog_dir_strict	dog_is_sig_broad	dog_dir_broad
HGFAC	HGFAC	ortholog_one2one	-2.8470459609515184	2.620400491702818e-72	TRUE	down	TRUE	down	-1.2351999130434774	7.231465176690462e-5	TRUE	down	TRUE	down
CPT1C	CPT1C	ortholog_one2one	-1.7145511077272744	7.523852923280663e-44	TRUE	down	TRUE	down	-1.3649447173913036	7.682973986515774e-5	TRUE	down	TRUE	down
RGS10	RGS10	ortholog_one2one	-2.398529412618184	1.0292146443722547e-33	TRUE	down	TRUE	down	-1.754449999999999	2.8189926323765856e-8	TRUE	down	TRUE	down
SNCG	SNCG	ortholog_one2one	-2.272468361175761	5.018378359803087e-65	TRUE	down	TRUE	down	-1.1638873913043473	4.2064112414291546e-7	TRUE	down	TRUE	down
SLC16A11	SLC16A11	ortholog_one2one	-2.4061414337060634	2.3368632829017945e-72	TRUE	down	TRUE	down	-1.069826304347826	6.131124815325551e-4	TRUE	down	TRUE	down
ITGB4	ITGB4	ortholog_one2one	-2.003395533600002	1.0928360115105674e-52	TRUE	down	TRUE	down	-1.1379983695652185	5.3613715001420816e-8	TRUE	down	TRUE	down
ZNF709	ZNF791	ortholog_one2many	-1.5254451996484868	1.1445780030666761e-41	TRUE	down	TRUE	down	-1.5364297826086952	6.0916355776385055e-5	TRUE	down	TRUE	down
SGCA	SGCA	ortholog_one2one	-2.109113147454547	1.976021614997442e-44	TRUE	down	TRUE	down	-1.071680942028985	4.495754839968066e-6	TRUE	down	TRUE	down
MYH11	MYH11	ortholog_one2one	-2.8584073157515184	2.4783590521032374e-48	TRUE	down	TRUE	down	-1.1462050543478255	4.4801516681780334e-5	TRUE	down	TRUE	down
DDX21	DDX21	ortholog_one2one	1.854199177687881	2.728870735674866e-32	TRUE	up	TRUE	up	1.1588570000000007	3.75833211507663e-7	TRUE	up	TRUE	up
CCL24	CCL24	ortholog_one2one	-1.7257876199212143	1.023290447456716e-51	TRUE	down	TRUE	down	-1.5849937826086948	0.00181557522692094	TRUE	down	TRUE	down
ANGPTL1	ANGPTL1	ortholog_one2one	-3.822630994751521	1.4082769684245642e-53	TRUE	down	TRUE	down	-1.361217326086957	1.6298640429011217e-5	TRUE	down	TRUE	down
LRRC40	LRRC40	ortholog_one2one	1.538887582845457	5.590358500546011e-32	TRUE	up	TRUE	up	1.0838102173913042	1.0060035291216545e-7	TRUE	up	TRUE	up
BTBD3	BTBD3	ortholog_one2one	2.6413846870181845	1.0024899708195938e-26	TRUE	up	TRUE	up	1.1180889565217391	0.00332499163610704	TRUE	up	TRUE	up
EGR1	EGR1	ortholog_one2one	-2.804593208012124	7.963142239232869e-25	TRUE	down	TRUE	down	-1.211904434782609	0.00875651998395458	TRUE	down	TRUE	down
SLC25A32	SLC25A32	ortholog_one2one	1.6483890665696983	2.5838970392934537e-21	TRUE	up	TRUE	up	1.204880652173913	1.2809293077914316e-6	TRUE	up	TRUE	up
GLIPR1	GLIPR1	ortholog_one2one	-2.1634037979090928	5.831186258428451e-20	TRUE	down	TRUE	down	-1.1324182608695637	7.863760529819088e-5	TRUE	down	TRUE	down
USP18	USP18	ortholog_one2one	2.34329883898182	9.395862699665438e-27	TRUE	up	TRUE	up	1.929871086956522	7.770406308196935e-5	TRUE	up	TRUE	up
TRIB2	TRIB2	ortholog_one2one	-2.5956406270909103	3.9917019011709336e-19	TRUE	down	TRUE	down	-1.4693148695652167	8.609099752492068e-4	TRUE	down	TRUE	down
MTSS1	MTSS1	ortholog_one2one	-2.2396086768151533	3.0899065533292853e-19	TRUE	down	TRUE	down	-1.8331119565217384	4.00357203542845e-5	TRUE	down	TRUE	down
RAD54B	RAD54B	ortholog_one2one	2.308236560896972	2.4799079511602635e-25	TRUE	up	TRUE	up	1.3798603043478266	1.070229544891073e-6	TRUE	up	TRUE	up
THEM5	THEM5	ortholog_one2one	-2.3127592505636394	9.933579112415819e-24	TRUE	down	TRUE	down	-1.1420172173913037	0.00157646728023405	TRUE	down	TRUE	down
TRIP13	TRIP13	ortholog_one2one	2.9288349386484875	1.1853039665969489e-21	TRUE	up	TRUE	up	1.511923304347826	2.8180209216152034e-8	TRUE	up	TRUE	up
GEMIN4	GEMIN4	ortholog_one2one	1.5279961190424252	5.2971739982856095e-25	TRUE	up	TRUE	up	1.2225001739130434	2.111730202677444e-7	TRUE	up	TRUE	up
UBE2S	UBE2S	ortholog_one2one	3.1503106371454583	5.897000436688805e-32	TRUE	up	TRUE	up	1.333093347826088	3.1488639933944594e-5	TRUE	up	TRUE	up
KIF15	KIF15	ortholog_one2one	3.5656889220969736	1.2234563969483789e-22	TRUE	up	TRUE	up	1.9924239913043489	3.693831983095893e-9	TRUE	up	TRUE	up
GM2A	GM2A	ortholog_one2one	-3.098256206903034	8.254458846379334e-32	TRUE	down	TRUE	down	-1.2748736521739124	5.412422429653623e-6	TRUE	down	TRUE	down
TTK	TTK	ortholog_one2one	3.924942984636365	7.471960515521359e-23	TRUE	up	TRUE	up	2.3710550869565212	4.085450949026675e-8	TRUE	up	TRUE	up
DSN1	DSN1	ortholog_one2one	1.612213203703032	2.811325476159398e-19	TRUE	up	TRUE	up	1.7288324347826094	5.895382012537809e-10	TRUE	up	TRUE	up
PCNA	PCNA	ortholog_one2one	2.849537122303033	2.30407561243269e-24	TRUE	up	TRUE	up	1.0413391304347823	9.659054275538886e-9	TRUE	up	TRUE	up
COMMD8	COMMD8	ortholog_one2one	2.2611212644666674	6.674015230233619e-30	TRUE	up	TRUE	up	1.0103282608695667	3.7600019504614315e-8	TRUE	up	TRUE	up
RAB30	RAB30	ortholog_one2one	-2.52211672138182	3.7512878247755964e-27	TRUE	down	TRUE	down	-2.137806956521739	5.8552819877635335e-8	TRUE	down	TRUE	down
TRIM69	TRIM69	ortholog_one2one	-1.863037630248487	5.301055586235442e-20	TRUE	down	TRUE	down	-1.4570193043478246	1.3073353404354427e-5	TRUE	down	TRUE	down
DTL	DTL	ortholog_one2one	3.2281665285848513	1.7963184018523735e-19	TRUE	up	TRUE	up	1.6317832173913054	2.899570560415259e-9	TRUE	up	TRUE	up
ITGB7	ITGB7	ortholog_one2one	-1.995970886484852	1.992800411659916e-20	TRUE	down	TRUE	down	-1.4809263768115937	9.633684960083054e-7	TRUE	down	TRUE	down
PRMT3	PRMT3	ortholog_one2one	3.2846354932000033	7.300241746940049e-31	TRUE	up	TRUE	up	1.4004912028985517	1.656815012691908e-11	TRUE	up	TRUE	up
SLC6A12	SLC6A12	ortholog_one2one	1.9077087848121224	2.9897875942100373e-27	TRUE	up	TRUE	up	2.155070173913044	0.0018648192659825	TRUE	up	TRUE	up
CAMK1	CAMK1	ortholog_one2one	-3.2174531948363674	3.569807604949434e-26	TRUE	down	TRUE	down	-1.127530499999999	1.28950012053896e-7	TRUE	down	TRUE	down
CMKLR1	CMKLR1	ortholog_one2one	2.2050015372000016	1.0010195133869773e-30	TRUE	up	TRUE	up	1.010403652173914	1.853420514666272e-5	TRUE	up	TRUE	up
PLSCR1	PLSCR1	ortholog_one2one	2.299554211733337	4.8027982998025996e-21	TRUE	up	TRUE	up	1.010217782608695	8.771686966215095e-4	TRUE	up	TRUE	up
C4BPB	C4BPB	ortholog_one2one	-1.5478917769393965	3.052958889055657e-23	TRUE	down	TRUE	down	-1.4778801739130432	0.01268444823770257	TRUE	down	TRUE	down
HSD11B1	HSD11B1	ortholog_one2one	2.9805733907454575	3.389373093382463e-20	TRUE	up	TRUE	up	1.7855170869565216	3.2727118808659674e-5	TRUE	up	TRUE	up
PKHD1L1	PKHD1L1	ortholog_one2one	-2.8711350739515176	1.0177187963140721e-13	TRUE	down	TRUE	down	-1.2553306086956515	0.002012759773448	TRUE	down	TRUE	down
ERCC6L	ERCC6L	ortholog_one2one	1.7807455785030324	5.909739763437541e-15	TRUE	up	TRUE	up	2.0177140869565218	7.083361242056394e-7	TRUE	up	TRUE	up
MYBL2	MYBL2	ortholog_one2one	2.148638986284851	5.3153207173986476e-18	TRUE	up	TRUE	up	1.327096000000001	2.6365702390655782e-5	TRUE	up	TRUE	up
KIF5C	KIF5C	ortholog_one2one	-1.7919479321212142	1.3954784099173548e-17	TRUE	down	TRUE	down	-1.2483077173913042	5.856924100194594e-7	TRUE	down	TRUE	down
PTGS1	PTGS1	ortholog_one2one	-2.0511978272454567	4.636239962940431e-14	TRUE	down	TRUE	down	-2.278036826086956	7.412983192470556e-8	TRUE	down	TRUE	down
PBK	PBK	ortholog_one2many	2.8143870583454573	1.4284439748055655e-9	TRUE	up	TRUE	up	1.3785128478260875	1.926832213617549e-7	TRUE	up	TRUE	up
CXCR4	CXCR4	ortholog_one2many	-1.8050332776242433	1.4024618446029262e-11	TRUE	down	TRUE	down	-1.3537399999999995	0.00295742178625818	TRUE	down	TRUE	down
CPXM1	CPXM1	ortholog_one2one	-1.8115619832303076	1.5231404406603002e-12	TRUE	down	TRUE	down	-1.33952156521739	5.18405466273612e-4	TRUE	down	TRUE	down
CENPK	CENPK	ortholog_one2one	2.752321273363638	4.452887982642005e-17	TRUE	up	TRUE	up	1.7860478695652175	5.09669609564748e-7	TRUE	up	TRUE	up
SPP1	SPP1	ortholog_one2one	2.1652923916333355	8.741951275163485e-13	TRUE	up	TRUE	up	1.488032956521739	0.02064265246934154	TRUE	up	TRUE	up
RAD51AP1	RAD51AP1	ortholog_one2one	2.1980741608606076	4.0917991027959973e-13	TRUE	up	TRUE	up	1.8478053043478255	1.2987242037461107e-9	TRUE	up	TRUE	up
TOP2A	TOP2A	ortholog_one2one	2.8273315402969716	2.0983325649219168e-11	TRUE	up	TRUE	up	2.102893000000001	1.8449184065580677e-8	TRUE	up	TRUE	up
GCNT1	GCNT1	ortholog_one2one	-2.120337055145458	6.216896521647978e-11	TRUE	down	TRUE	down	-1.2243890434782605	0.00951905545224079	TRUE	down	TRUE	down
KIF23	KIF23	ortholog_one2one	2.292228425439395	2.781105839287811e-16	TRUE	up	TRUE	up	2.203604543478262	2.3897173810216066e-8	TRUE	up	TRUE	up
MYO5C	MYO5C	ortholog_one2one	2.1414774778121237	9.787246634495768e-17	TRUE	up	TRUE	up	1.5359460434782617	6.19942257843788e-5	TRUE	up	TRUE	up
KIF14	KIF14	ortholog_one2one	2.242072329521213	1.0147727391870164e-11	TRUE	up	TRUE	up	1.3715446086956524	9.629664112304266e-5	TRUE	up	TRUE	up
BRCA1	BRCA1	ortholog_one2one	1.6578086907060618	4.238395059926308e-11	TRUE	up	TRUE	up	1.2644983043478266	6.532294761466169e-9	TRUE	up	TRUE	up
CDCA8	CDCA8	ortholog_one2one	2.9044892167030327	1.6507970619805887e-16	TRUE	up	TRUE	up	1.4983091304347826	2.6208444500786503e-8	TRUE	up	TRUE	up
STIL	STIL	ortholog_one2one	1.535844340296969	8.906517474379808e-11	TRUE	up	TRUE	up	1.8102360434782605	1.1690464989256631e-8	TRUE	up	TRUE	up
BUB1B	BUB1B	ortholog_one2one	1.8119030806121224	3.028219823490626e-7	TRUE	up	TRUE	up	2.5559249130434796	3.0932579581229255e-8	TRUE	up	TRUE	up
DLGAP5	DLGAP5	ortholog_one2one	2.2966930911515164	1.1552822062687518e-8	TRUE	up	TRUE	up	1.4142406086956525	1.4486245032254196e-5	TRUE	up	TRUE	up
CDCA7	CDCA7	ortholog_one2many	2.0561217541363663	4.0105077609715745e-8	TRUE	up	TRUE	up	2.1032431304347834	2.993382358718895e-8	TRUE	up	TRUE	up
MME	MME	ortholog_one2one	-1.659068855981821	2.514969752533976e-4	TRUE	down	TRUE	down	-1.5643899999999993	2.0748435426057004e-4	TRUE	down	TRUE	down
SHCBP1	SHCBP1	ortholog_one2one	1.643526330345456	7.132949826005364e-5	TRUE	up	TRUE	up	2.0127292826086967	2.549522767605924e-7	TRUE	up	TRUE	up
UCHL1	UCHL1	ortholog_one2one	-1.7493891265242445	9.568171088469572e-7	TRUE	down	TRUE	down	-1.37870804347826	6.103258979960589e-5	TRUE	down	TRUE	down
